"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","User Registration API","1","0","Register user missing password","0"
"0","","0","Order Retrieval API","1","0","Get user orders with auth","0"
"0","","0","Order Retrieval API","1","0","Get user orders without auth","0"
"0","","0","User Login API","1","0","Login with wrong password","0"
"0","","0","Order Retrieval API","1","0","Get all orders","0"
"0","","0","Ingredients API","1","0","Get ingredients list","0"
"0","","0","User Login API","1","0","Login existing user","0"
"0","","1","Order Creation API","0","0","Create order with wrong ingredient hash","0"
"0","","0","User Login API","1","0","Login with wrong email","0"
"0","","0","User Registration API","1","0","Register existing user","0"
"0","","0","User Registration API","1","0","Register unique user","0"
"0","","0","User Registration API","1","0","Register user missing email","0"
"0","","0","Order Creation API","1","0","Create order without auth","0"
"0","","0","User Registration API","1","0","Register user missing name","0"
"0","","0","Order Creation API","1","0","Create order with no ingredients","0"
"0","","0","Order Creation API","1","0","Create order with auth and ingredients","0"
